circuit_key,compound_rank,estimator,estimator_order,wear_s_per_lap,se_s_per_lap,laps,stints,races
albert_park,SOFTEST,Fixed effects,2,0.014330744134939883,0.004520200109080536,841,65,5
bahrain,HARDEST,Fixed effects,2,0.10275983584456434,0.00342134782364985,1485,85,6
bahrain,MIDDLE,Fixed effects,2,0.10731949679426733,0.0027244966469455764,2612,155,7
bahrain,SOFTEST,Fixed effects,2,0.11200990862085226,0.004495904791171927,1992,189,7
bahrain_outer,HARDEST,Fixed effects,2,0.03111067631733632,0.0028844037713356935,271,13,1
bahrain_outer,MIDDLE,Fixed effects,2,0.02732986603909266,0.001980328249915967,587,24,1
bahrain_outer,SOFTEST,Fixed effects,2,0.01604597669720299,0.0036272786358423365,329,18,1
baku,HARDEST,Fixed effects,2,0.0029313731234592013,0.004751984476329221,1877,80,4
baku,MIDDLE,Fixed effects,2,0.013853297572137461,0.002857722959959976,2330,113,7
baku,SOFTEST,Fixed effects,2,0.013650107759023575,0.005074952917109349,864,93,6
catalunya,HARDEST,Fixed effects,2,0.04954665741907519,0.00266046180713333,2152,98,8
catalunya,MIDDLE,Fixed effects,2,0.0624392485044518,0.001822299266613449,3901,193,9
catalunya,SOFTEST,Fixed effects,2,0.06678429576285135,0.002454018288172908,3549,247,9
cota,HARDEST,Fixed effects,2,0.0539379399247543,0.0021619261901958463,2893,137,7
cota,MIDDLE,Fixed effects,2,0.05983357687585376,0.0027280637493309555,2413,157,7
cota,SOFTEST,Fixed effects,2,0.052235507270884655,0.005766316728489472,720,43,6
hockenheim,HARDEST,Fixed effects,2,0.08414236230433275,0.05341949887167884,151,9,1
hockenheim,MIDDLE,Fixed effects,2,0.02842321120806502,0.006402370152068908,179,12,1
hockenheim,SOFTEST,Fixed effects,2,0.017593100050805235,0.012464011759725903,144,13,1
hungaroring,HARDEST,Fixed effects,2,0.04886457349279375,0.001549984981481658,4415,157,8
hungaroring,MIDDLE,Fixed effects,2,0.03899576211317141,0.001830055132161783,3781,174,8
hungaroring,SOFTEST,Fixed effects,2,0.04726925294139313,0.0037750314710418976,1229,80,8
imola,HARDEST,Fixed effects,2,0.028587161365422636,0.0024882687589823944,1097,35,3
imola,MIDDLE,Fixed effects,2,0.0295011872208112,0.0021956565990680185,2121,91,4
imola,SOFTEST,Fixed effects,2,0.025294886209028235,0.0036508453649592067,505,47,4
interlagos,HARDEST,Fixed effects,2,0.029651943969441517,0.002330654528626911,1298,52,5
interlagos,MIDDLE,Fixed effects,2,0.04761462454282562,0.0015581338990234607,2492,141,5
interlagos,SOFTEST,Fixed effects,2,0.04018294218934358,0.0023662037661684025,1494,98,5
jeddah,HARDEST,Fixed effects,2,-0.004714775763436228,0.018536608961777497,1280,48,3
jeddah,MIDDLE,Fixed effects,2,0.009703399381202496,0.009432227149429704,1731,98,5
jeddah,SOFTEST,Fixed effects,2,0.017525848649934454,0.0028227122181024348,544,43,5
las_vegas,HARDEST,Fixed effects,2,0.052912055282073774,0.004666919677724658,1156,65,2
las_vegas,MIDDLE,Fixed effects,2,0.03210432927347678,0.004265498047228163,843,54,3
las_vegas,SOFTEST,Fixed effects,2,0.03205049112629996,0.005733599631907534,243,17,3
lusail,HARDEST,Fixed effects,2,0.01319386955382911,0.0034445964026738993,1170,73,4
lusail,MIDDLE,Fixed effects,2,0.010234084404714999,0.0030550255185109363,1868,119,4
lusail,SOFTEST,Fixed effects,2,0.005699786055410159,0.013375652698183093,292,22,4
miami,HARDEST,Fixed effects,2,0.01806162096285376,0.0015901517312573675,2096,74,4
miami,MIDDLE,Fixed effects,2,0.024398887323641632,0.003077406397879597,1727,105,5
miami,SOFTEST,Fixed effects,2,0.03506594565430792,0.005788737238822435,336,30,5
monaco,HARDEST,Fixed effects,2,0.020556882437839968,0.0024160435511481485,3313,90,6
monaco,MIDDLE,Fixed effects,2,0.02014043886708025,0.0025714316338243193,2600,92,6
monaco,SOFTEST,Fixed effects,2,0.02089921104570122,0.0029349332126985418,1284,76,6
monza,HARDEST,Fixed effects,2,0.03093353067561464,0.0033588772764275732,1628,70,5
monza,MIDDLE,Fixed effects,2,0.029384662830311305,0.008581913582757526,2499,125,7
monza,SOFTEST,Fixed effects,2,0.04073916095214154,0.00906207559057929,1546,95,6
nurburgring,MIDDLE,Fixed effects,2,0.06504501540543606,0.006238330899624701,356,22,1
nurburgring,SOFTEST,Fixed effects,2,0.03208328041632928,0.009788723400449246,320,26,1
paul_ricard,HARDEST,Fixed effects,2,0.032276260370001794,0.0025139686216373255,1442,51,3
paul_ricard,MIDDLE,Fixed effects,2,0.03197421150086303,0.0035338805328708513,1366,74,4
paul_ricard,SOFTEST,Fixed effects,2,0.060114677650487516,0.0040307822755937936,571,36,4
portimao,HARDEST,Fixed effects,2,0.0035843703665716436,0.003199880314564716,765,25,2
