circuit_key,circuit,short_name,lap_km,drs_zones,circuit_type,pass_chance_per_lap,pass_chance_lo,pass_chance_hi,cost_of_being_stuck_s,cost_lo_s,cost_hi_s,at_ceiling,pit_loss_s,pit_loss_se_s,expected_cautions_per_race,opportunities,passes
nurburgring,Nurburgring GP,Nürburgring,5.148,2,Permanent,,,,,,,,24.227143972922658,0.6770181001261971,1.2018257179860667,318,19
paul_ricard,Paul Ricard,Le Castellet,5.842,2,Permanent,0.26577765649828033,0.11298810139355601,0.3917067825155501,1.8812717614704197,1.2764711125194763,4.425956747843151,False,24.402952624699676,0.3297865436621141,1.0699853836088327,1286,123
portimao,Algarve,Portimão,4.653,2,Permanent,0.20978434742780452,0.1270918776465613,0.2941955680403188,2.383399934888234,1.699554765456322,3.9341617732548664,False,27.657551868062143,0.6484753000715806,1.1990969460014356,847,75
red_bull_ring,Red Bull Ring,Spielberg,4.318,3,Permanent,0.21043901101034962,0.1341624947702462,0.294780017835377,2.375985315647627,1.6961915443849986,3.727027752449006,False,21.471472891183662,0.31646368409146197,1.3145589265657154,4599,356
rodriguez,Hermanos Rodriguez,Mexico City,4.304,3,Permanent,0.2035603985229968,0.11023084111948193,0.29362273462317806,2.4562734383894105,1.7028661691616236,4.535939013921041,False,23.238343792011545,0.3034344612491888,1.4478659437841288,2535,216
shanghai,Shanghai International,Shanghai,5.451,2,Permanent,0.26128178789605133,0.16358101706644745,0.34420334308419137,1.913642753389764,1.4527366640122126,3.0567415639501596,False,24.393905017650795,0.5683059755745993,1.0857182121016853,1317,138
silverstone,Silverstone,Silverstone,5.891,2,Permanent,0.18590336614880182,0.10509975067331669,0.27708997173861616,2.689569373368889,1.804527008564234,4.757401769679106,False,20.152984774486463,0.399537930141075,1.0916707201094142,3142,189
singapore,Marina Bay,Singapore,4.94,3,Street,0.12007478376775244,0.07341638565683263,0.18838032196156068,4.164071625288916,2.6542233523362544,6.811455826458183,False,27.433965522125543,0.4892162665743388,1.2435089213573287,2377,105
sochi,Sochi Autodrom,Sochi,5.848,2,Street,0.27306144937587085,0.15860923003907196,0.3794533164788007,1.8310896728294546,1.3176864735810638,3.1525362715863805,False,26.19305726442019,0.36571883388239124,1.058805402353977,1192,104
spa,Spa-Francorchamps,Spa,7.004,2,Permanent,0.2759466387250355,0.17603203432451064,0.3765713230282062,1.8119445205426852,1.3277713191920881,2.8403935605846504,False,19.181660660761196,0.22413509386277297,0.7952528030373874,2163,246
suzuka,Suzuka,Suzuka,5.807,1,Permanent,0.1962847027664366,0.11849884528512643,0.27960044298650805,2.5473202595668436,1.7882667843082716,4.219484008347551,False,23.22292727849,0.417788892877285,0.9623656246637824,2244,198
villeneuve,Gilles Villeneuve,Montréal,4.361,2,Permanent,0.09158955841133593,0.05272089613980205,0.16636106975834447,5.459137577172942,3.0058071779701616,9.486227349024777,False,19.985699654686467,0.2841970209708972,1.4470766063824299,2861,161
yas_marina,Yas Marina,Abu Dhabi,5.281,2,Permanent,0.2803468277835112,0.14662644669006292,0.3873162964929528,1.7835051102704427,1.2909410973552322,3.410048821299224,False,23.08329286506294,0.25844036641058304,1.04135843478375,2809,278
zandvoort,Zandvoort,Zandvoort,4.259,2,Permanent,0.0797830385151773,0.05239427838820134,0.1456538354286848,6.266996210038853,3.4328199682256284,9.543030195946976,False,22.237761535062194,0.3747581010614485,1.466497438287532,2719,192
