stint_id,race_id,driver_code,team,stint,compound,compound_rank,fresh_tyre,start_lap,end_lap,stint_laps,ended_in_pit,ran_to_flag,tyre_life_observed,caution_during_stint
2023_16_OCO_s2,2023_16,OCO,Alpine,2,HARD,HARDEST,True,2.0,28.0,27.0,True,False,True,True
2023_16_OCO_s3,2023_16,OCO,Alpine,3,HARD,HARDEST,True,29.0,53.0,25.0,False,True,False,False
2023_16_PER_s1,2023_16,PER,Red Bull Racing,1,MEDIUM,MIDDLE,True,1.0,2.0,2.0,True,False,True,True
2023_16_PER_s2,2023_16,PER,Red Bull Racing,2,HARD,HARDEST,True,3.0,12.0,10.0,True,False,True,True
2023_16_PER_s3,2023_16,PER,Red Bull Racing,3,SOFT,SOFTEST,False,13.0,13.0,1.0,True,False,True,True
2023_16_PER_s4,2023_16,PER,Red Bull Racing,4,SOFT,SOFTEST,False,14.0,14.0,1.0,True,False,True,False
2023_16_PER_s5,2023_16,PER,Red Bull Racing,5,SOFT,SOFTEST,False,15.0,15.0,1.0,True,False,True,False
2023_16_PIA_s1,2023_16,PIA,McLaren,1,MEDIUM,MIDDLE,True,1.0,13.0,13.0,True,False,True,True
2023_16_PIA_s2,2023_16,PIA,McLaren,2,HARD,HARDEST,True,14.0,35.0,22.0,True,False,True,True
2023_16_PIA_s3,2023_16,PIA,McLaren,3,HARD,HARDEST,True,36.0,53.0,18.0,False,True,False,False
2023_16_RUS_s1,2023_16,RUS,Mercedes,1,MEDIUM,MIDDLE,True,1.0,24.0,24.0,True,False,True,True
2023_16_RUS_s2,2023_16,RUS,Mercedes,2,HARD,HARDEST,True,25.0,53.0,29.0,False,True,False,False
2023_16_SAI_s1,2023_16,SAI,Ferrari,1,MEDIUM,MIDDLE,True,1.0,18.0,18.0,True,False,True,True
2023_16_SAI_s2,2023_16,SAI,Ferrari,2,MEDIUM,MIDDLE,True,19.0,38.0,20.0,True,False,True,False
2023_16_SAI_s3,2023_16,SAI,Ferrari,3,HARD,HARDEST,True,39.0,53.0,15.0,False,True,False,False
2023_16_SAR_s1,2023_16,SAR,Williams,1,MEDIUM,MIDDLE,True,1.0,2.0,2.0,True,False,True,True
2023_16_SAR_s2,2023_16,SAR,Williams,2,MEDIUM,MIDDLE,False,3.0,5.0,3.0,True,False,True,True
2023_16_SAR_s3,2023_16,SAR,Williams,3,MEDIUM,MIDDLE,True,6.0,21.0,16.0,True,False,True,True
2023_16_SAR_s4,2023_16,SAR,Williams,4,HARD,HARDEST,True,22.0,22.0,1.0,True,False,True,False
2023_16_STR_s1,2023_16,STR,Aston Martin,1,SOFT,SOFTEST,True,1.0,14.0,14.0,True,False,True,True
2023_16_STR_s2,2023_16,STR,Aston Martin,2,MEDIUM,MIDDLE,True,15.0,20.0,6.0,True,False,True,False
2023_16_TSU_s1,2023_16,TSU,AlphaTauri,1,SOFT,SOFTEST,False,1.0,9.0,9.0,True,False,True,True
2023_16_TSU_s2,2023_16,TSU,AlphaTauri,2,MEDIUM,MIDDLE,True,10.0,30.0,21.0,True,False,True,True
2023_16_TSU_s3,2023_16,TSU,AlphaTauri,3,HARD,HARDEST,True,31.0,52.0,22.0,False,True,False,False
2023_16_VER_s1,2023_16,VER,Red Bull Racing,1,MEDIUM,MIDDLE,True,1.0,16.0,16.0,True,False,True,True
2023_16_VER_s2,2023_16,VER,Red Bull Racing,2,MEDIUM,MIDDLE,True,17.0,37.0,21.0,True,False,True,False
2023_16_VER_s3,2023_16,VER,Red Bull Racing,3,HARD,HARDEST,True,38.0,53.0,16.0,False,True,False,False
2023_16_ZHO_s1,2023_16,ZHO,Alfa Romeo,1,SOFT,SOFTEST,True,1.0,1.0,1.0,True,False,True,True
